State,2014,2015,2016,2017,2018,2019,2020,Average_Enrollment
Connecticut,884,914,989,1036,1063,1087,1130,1014.7142857142857
Maine,321,305,301,295,287,306,346,308.7142857142857
Massachusetts,1571,1591,1633,1601,1600,1522,1538,1579.4285714285713
New Hampshire,147,184,203,202,193,187,200,188.0
Rhode Island,211,229,242,264,262,253,257,245.42857142857142
Vermont,179,195,197,181,173,164,170,179.85714285714286
Delaware,222,236,238,242,245,244,258,240.71428571428572
District of Columbia,247,260,269,281,281,281,279,271.14285714285717
Maryland,1164,1167,1224,1317,1314,1324,1405,1273.5714285714287
New Jersey,1510,1694,1726,1740,1702,1630,1670,1667.4285714285713
New York,5384,5924,5867,5889,5872,5834,6095,5837.857142857143
Pennsylvania,2189,2677,3002,3051,3030,3079,3219,2892.4285714285716
Illinois,3163,3248,3283,3257,3161,2990,3117,3174.1428571428573
Indiana,1090,1204,1360,1420,1385,1383,1561,1343.2857142857142
Michigan,2149,2410,2526,2338,2632,2600,2761,2488.0
Ohio,2607,2968,3028,3042,2893,2781,2924,2891.8571428571427
Wisconsin,1058,1075,1098,1101,1088,1085,1161,1095.142857142857
Iowa,617,664,702,709,712,714,750,695.4285714285714
Kansas,359,368,400,381,375,364,376,374.7142857142857
Minnesota,1073,1211,1237,1197,1159,1124,1181,1168.857142857143
Missouri,927,1076,1174,1183,1129,1025,1104,1088.2857142857142
Nebraska,217,218,227,232,235,231,246,229.42857142857142
North Dakota,77,84,93,93,92,89,98,89.42857142857143
South Dakota,110,113,114,109,111,109,114,111.42857142857143
Alabama,1007,1034,1048,1035,1030,1046,1096,1042.2857142857142
Arkansas,827,974,932,956,910,837,875,901.5714285714286
Florida,3599,3755,3840,3892,3701,3615,3928,3761.4285714285716
Georgia,1717,1849,1895,1938,2002,2022,2147,1938.5714285714287
Kentucky,1078,1235,1304,1350,1322,1281,1407,1282.4285714285713
Louisiana,1148,1270,1393,1508,1502,1484,1559,1409.142857142857
Mississippi,696,751,754,746,711,701,729,726.8571428571429
North Carolina,1679,1790,1897,1973,2010,2011,2089,1921.2857142857142
South Carolina,939,1014,1072,1100,1096,1115,1137,1067.5714285714287
Tennessee,1373,1546,1696,1616,1544,1559,1598,1561.7142857142858
Virginia,946,1025,1079,1119,1159,1340,1566,1176.2857142857142
West Virginia,505,561,598,586,564,548,569,561.5714285714286
Arizona,1414,1590,1736,1775,1700,1705,1791,1673.0
New Mexico,715,841,924,948,895,881,918,874.5714285714286
Oklahoma,749,725,688,696,667,658,737,702.8571428571429
Texas,4212,4436,4569,4597,4488,4383,4700,4483.571428571428
Colorado,861,1033,1133,1156,1096,1049,1097,1060.7142857142858
Idaho,222,238,253,262,245,238,300,251.14285714285714
Montana,115,131,209,241,257,253,248,207.71428571428572
Utah,302,317,317,303,293,290,337,308.42857142857144
Wyoming,71,69,66,64,60,57,61,64.0
Alaska,115,127,167,196,209,217,229,180.0
California,11718,11493,10883,10920,11232,10912,10980,11162.57142857143
Hawaii,296,320,354,361,350,335,376,341.7142857142857
Nevada,436,498,555,564,558,547,601,537.0
Oregon,982,1089,1087,1026,985,992,1070,1033.0
Washington,1568,1761,1868,1882,1815,1803,1854,1793.0
