State,2014,2015,2016,2017,2018,2019,2020
Alabama,4843737,4854803,4866824,4877989,4891628,4907965,4921532
Alaska,737075,738430,742575,740983,736624,733603,731158
Arizona,6732873,6832810,6944767,7048088,7164228,7291843,7421401
Arkansas,2968759,2979732,2991815,3003855,3012161,3020985,3030522
California,38586706,38904296,39149186,39337785,39437463,39437610,39368078
Colorado,5352637,5454328,5543844,5617421,5697155,5758486,5807719
Connecticut,3595697,3588561,3579830,3575324,3574561,3566022,3557006
Delaware,933131,942065,949989,957942,966985,976668,986809
District of Columbia,663603,677014,687576,697079,704147,708253,712816
Florida,19853880,20219111,20627237,20977089,21254926,21492056,21733312
Georgia,10071204,10183353,10308442,10417031,10519389,10628020,10710017
Hawaii,1415335,1422999,1428885,1425763,1423102,1415615,1407006
Idaho,1632248,1652495,1684036,1719745,1752074,1789060,1826913
Illinois,12885092,12859585,12821709,12779893,12724685,12667017,12587530
Indiana,6596019,6611442,6637898,6662068,6698481,6731010,6754953
Iowa,3110643,3122541,3133210,3143734,3149900,3159596,3163561
Kansas,2901861,2910717,2912977,2910892,2912748,2912635,2913805
Kentucky,4416992,4429126,4440306,4455590,4464273,4472345,4477251
Louisiana,4645938,4666998,4681346,4673673,4664450,4658285,4645318
Maine,1331217,1329098,1332348,1335743,1340123,1345770,1350141
Maryland,5960064,5988528,6007014,6028186,6042153,6054954,6055802
Massachusetts,6764864,6797484,6827280,6863560,6885720,6894883,6893574
Michigan,9932033,9934483,9954117,9976752,9987286,9984795,9966555
Minnesota,5452665,5484002,5525360,5569283,5608762,5640053,5657342
Mississippi,2991892,2990231,2990595,2990674,2982879,2978227,2966786
Missouri,6059130,6075411,6091384,6111382,6125986,6140475,6151548
Montana,1022657,1031495,1042137,1053862,1061818,1070123,1080577
Nebraska,1879955,1892059,1906483,1916998,1925512,1932571,1937552
Nevada,2818935,2868531,2919555,2972097,3030725,3090771,3138259
New Hampshire,1334257,1337480,1343694,1350395,1355064,1360783,1366275
New Jersey,8867277,8870312,8873584,8888147,8891730,8891258,8882371
New Mexico,2090236,2090071,2092555,2092844,2093754,2099634,2106319
New York,19653431,19657321,19636391,19593849,19544098,19463131,19336776
North Carolina,9937295,10037218,10161802,10275758,10391358,10501384,10600823
North Dakota,738736,755537,756114,756755,760062,763724,765309
Ohio,11606573,11622315,11640060,11665706,11680892,11696507,11693217
Oklahoma,3879187,3910518,3928143,3933602,3943488,3960676,3980783
Oregon,3965447,4018542,4093271,4147294,4183538,4216116,4241507
Pennsylvania,12792392,12789838,12788468,12794679,12809107,12798883,12783254
Rhode Island,1056511,1056886,1057816,1056554,1059338,1058158,1057125
South Carolina,4826858,4896006,4963031,5027102,5091702,5157702,5218040
South Dakota,849670,854663,863693,873732,879386,887127,892717
Tennessee,6544617,6595354,6651277,6714748,6778180,6830325,6886834
Texas,26963092,27468531,27914064,28291024,28624564,28986794,29360759
Utah,2938327,2983626,3044241,3103540,3155153,3203383,3249879
Vermont,625693,625810,624366,625132,624802,624046,623347
Virginia,8315430,8367303,8417651,8471011,8510920,8556642,8590563
Washington,7057531,7167287,7299961,7427951,7526793,7614024,7693612
West Virginia,1850569,1843332,1832435,1818683,1805953,1795263,1784787
Wisconsin,5753199,5762927,5775170,5793147,5809319,5824581,5832655
Wyoming,583159,586389,585243,579994,579054,580116,582328
Puerto Rico,3534874,3473232,3406672,3325284,3193344,3193553,3159343
